pays;code;ville;societe;activite;site;email repere;telephone repere;note commerciale;statut
Chili;CL;Santiago (Cerrillos);Templaglass S.A.;Trempe, feuillete et double vitrage sur mesure;templaglass.cl;info@templaglass.cl;+56 2 2618 6702;Usine Cerrillos + showroom Las Condes. Port San Antonio. Envoi en espagnol.;ENVOYE 2026-09-23
Chypre;CY;Limassol;Christakis Avgousti Ltd;Verrerie architecturale;avgoustiglass.com;info@avgoustiglass.com;;20 Oslo Street. Verrerie architecturale, gros consommateur de float. Port Limassol, envoi en anglais.;ENVOYE 2026-09-25
Chypre;CY;Limassol;Polydomiki;Double vitrage et fournitures verrieres;polydomiki.com.cy;info@polydomiki.com.cy;;Dodekanisou & Leontiou Corner 1. Port Limassol, envoi en anglais.;ENVOYE 2026-09-25
Chypre;CY;Nicosie (Kaimakli);Petros Shiailis Aluminium Ltd;Menuiserie aluminium et vitrage;shiailis.com;info@shiailis.com;;55 Markou Mpotsari. Port Limassol, envoi en anglais.;ENVOYE 2026-09-25
Chypre;CY;Nicosie (Pallouriotissa);Constantinou Bros Glass Processing Ltd;Transformation de verre;constantinoubros.glass;info@constantinoubros.glass;;70 Markou Mpotsari. Marche insulaire importateur. Port Limassol, envoi en anglais.;ENVOYE 2026-09-25
Chypre;CY;Nicosie et Limassol;Shikkis Bros Ltd;Transformation de verre, une des usines les plus avancees du Moyen-Orient;shikkisglass.com;info@shikkis.com;+357 24 823 099;Transformateur verrier certifie ISO 9001, gros consommateur de float. Port Limassol. Zone industrielle d Aradippou, Larnaca. Envoi en anglais.;ENVOYE 2026-09-25
Colombie;CO;Bogota et Tenjo (Cundinamarca);Vidrial Temp S.A.S.;Trempe et transformation de verre de securite;vidrialtemp.com.co;info@vidrialtemp.com.co;+57 1 235 2506;28 ANS DE METIER, deux sites. Port Carthagene. Envoi en espagnol.;ENVOYE 2026-09-24
Colombie;CO;Bogota;Indusvit Ltda;Fabrique de verre trempe et feuillete de securite;indusvit.com;principal@indusvit.com;+57 601 755 7368;Usine de trempe, plusieurs implantations a Bogota. Port Carthagene. Envoi en espagnol.;ENVOYE 2026-09-24
Congo (RDC);CD;Kinshasa;FNMA Aluminium;Menuiserie metallique et aluminium;;;;Specialiste de la menuiserie metallique a Kinshasa. Aucune adresse email publiee : a rechercher ou appeler. Port Matadi ou Pointe-Noire.;A APPELER
Costa Rica;CR;San José;MACOPA;Fabrication et distribution de verre trempe et feuillete, acier et aluminium;macopa.com;ventas@macopa.com;+506 2010 7310;Fonde en 1972, fabricant de verre feuillete et trempe et de profiles aluminium. Port Moin ou Puerto Limon. Fonde en 1972, Calle Blancos, San Jose. Port Puerto Limon ou Caldera. Envoi en espagnol.;ENVOYE 2026-09-25
Costa Rica;CR;Santo Domingo de Heredia;EXTRALUM S.A.;Fabrication, transformation et commercialisation de verre et d aluminium;extralum.com;info@extralum.co.cr;+506 2277 1900;GROS INDUSTRIEL REGIONAL : sites propres au Costa Rica, au Panama et au Honduras, vend en Amerique centrale, aux Caraibes et aux Etats-Unis. Port Moin, envoi en espagnol.;ENVOYE 2026-09-24
Côte d'Ivoire;CI;Abidjan (Cocody);VITRINES;Portes et fenetres alu vitrees vitrines;vitrerie.business;info@vitrerie.business;+225 05 74 44 44 25;9 kilos Cocody Abidjan. Port Abidjan. Mini-mail sur mesure FR;ADRESSE INVALIDE
Côte d'Ivoire;CI;Abidjan (Koumassi zone industrielle);Societe Ivoire Glass Compagnie;Fabrication menuiserie verre et metal, import-export;;ivoireglasscompagnie@gmail.com;;Structure import-export basee en zone industrielle de Koumassi. Port Abidjan, envoi en francais.;ENVOYE 2026-09-24
Côte d'Ivoire;CI;Abidjan (Koumassi);Vitrolux;Menuiserie aluminium et miroiterie;vitrolux-ci.com;;;Fabricant-installateur : consommateur régulier.;
Côte d'Ivoire;CI;Abidjan (Marcory zone 4);SIVIMI — Sté Ivoirienne de Vitrerie et Miroiterie;Vitrerie, miroiterie et menuiserie metallique;;;+225 27 21 35 03 14;REBOND 24/09 : le domaine avisi.ci publie par l annuaire n existe pas. Appeler pour obtenir la vraie adresse. Port Abidjan.;A APPELER
Côte d'Ivoire;CI;Abidjan (Plateau);NOMIRA — Nouvelle Miroiterie Africaine;Miroiterie et vitrerie;;nomira@aviso.ci;+225 27 21 25 65 45;11 rue des Brasseurs. Aucune adresse email publiee : a rappeler. Port Abidjan. Adresse repérée en annuaire, à confirmer.;ENVOYE 2026-09-22
Côte d'Ivoire;CI;Abidjan, Plateau;Sovitam Group;Transformation et distribution de verre architectural;sovitam.net;contact@sovitam.net;;Usines publiées en Côte d'Ivoire et au Sénégal, cibler verre architectural et miroir. Port Abidjan, envoi en francais. Domaine sovitam.net introuvable — adresse fournie par ChatGPT, non verifiee.;ADRESSE INVALIDE
Croatie;HR;—;IM COMP;Transformation du verre;imcomp.hr;;;À qualifier.;
Croatie;HR;—;Staklo Konstrukt d.o.o.;Production, transformation, pose;staklo-konstrukt.hr;staklokonstrukt@gmail.com;+385 95 9070 235;À qualifier.;ENVOYE 2026-09-22
Croatie;HR;Bakar;Staklo Bakar d.o.o.;Production, transformation, gros de verre;staklobakar.hr;staklobakar2002@gmail.com;+385 51 500 595;Négociant-transformateur, à 10 km de Rijeka.;ENVOYE 2026-09-22
Croatie;HR;Novigrad (Istrie);Kopterm d.o.o. — Staklo Novigrad;Production et façonnage de verre plat;staklo-novigrad.com;kopterm@gmail.com;+385 52 757 329;Vitrages, façades verre, miroirs. Petite structure istrienne. Port Rijeka, envoi en anglais.;ENVOYE 2026-09-25
Croatie;HR;Osijek;Zrcalo d.o.o.;Façonnage de verre plat et vitrage isolant (code C23120);zrcalo.hr;zrcalo@zrcalo.hr;+385 31 540 102;Verre plat, reflechissant, feuillete, arme, miroirs et IZO staklo. Port Rijeka, envoi en anglais.;ENVOYE 2026-09-25
Croatie;HR;Rijeka;Eko Vetri;Fabrication et pose de verre;eko-vetri.hr;info@eko-vetri.hr;+385 91 221 1998;Sur le port de Rijeka : transit le plus court.;ENVOYE 2026-09-22
Croatie;HR;Rijeka;Staklo Rijeka d.o.o.;Façonnage verre plat (code C23120);;;051 568 528;Petite structure — vérifier qu'elle peut absorber un conteneur.;
Croatie;HR;Velika Gorica;Gorica Staklo;Transformation du verre;goricastaklo.hr;kontakt@goricastaklo.hr;+385 1 5580 864;À qualifier.;ENVOYE 2026-09-22 + RELANCE 2026-09-25
Croatie;HR;Zagreb;Idra;Production et transformation du verre;idra.hr;idra@idra.hr;+385 1 3860 222;Transformateur établi.;ENVOYE 2026-09-22
Curaçao;CW;Willemstad;Glass Aluminium Services N.V.;Verre et aluminium;glassaluminiumservices.com;;;11-12 Heintje Koolweg. Marche insulaire importateur. Aucune adresse email publiee : a rappeler. Port Willemstad.;A APPELER
Danemark;DK;Danemark;Svane Glas A/S;Solutions verrieres pour le batiment, vente en gros;svaneglas.dk;bestilling@svaneglas.dk;;Adresse dediee au canal gros (engros). Port Aarhus ou Copenhague, envoi en anglais.;ENVOYE 2026-09-25
Égypte;EG;10e de Ramadan;Cairo Glass Manufacturing Co.;Producteur et transformateur : verre imprime, arme, trempe;cairoglass.com;commercial@cairoglass.com;+20 55 441 1850;Usine 10e de Ramadan. Lot Egypte vers Alexandrie.;ENVOYE 2026-09-23
Égypte;EG;10e de Ramadan;Dr Greiche Glass;Premier transformateur de verre du Moyen-Orient et d'Afrique;drgreiche.com;;+20 554 410 001;TRES GROSSE MAISON. Pas d'adresse publiee : hotline 19864, WhatsApp +20 100 169 4476.;A APPELER
Égypte;EG;6 Octobre (Giza);M&A Glass Processing;Transformation depuis 1983 : verre de securite, electromenager, batiment;maglassegypt.com;info@maglassegypt.com;+20 102 333 9446;Quarante ans de metier. 6th of October City, Le Caire. Maison de 1983. Port Alexandrie, envoi en anglais.;ENVOYE 2026-09-25
Égypte;EG;Borg el Arab, troisième zone industrielle;Rubex;Transformation industrielle de verre plat;rubexegypt.eg;info@rubexegypt.eg;+20 2 2775 7347;Usine de transformation créée en 2017, capacité annoncée de 540000 m² par an. Pas d adresse publiee : appeler. Port . 87 Abdel Aziz Fahmy, Heliopolis, Le Caire. Adresses sales@ et export@ egalement touchees. Port Alexandrie, envoi en anglais MESSAGE BLOQUE le 25/09 sur les trois adresses (550 5.7.0 : IP de l expediteur sur liste noire). L adresse est bonne, c est notre IP d envoi qui est refusee — argument de plus pour passer sur un domaine authentifie.;BLOQUE PAR LE DESTINATAIRE
Égypte;EG;Le Caire (Abbasseya) et Damanhour;Arab Union Glass;Verre feuillete, double vitrage, trempe, pare-balles, verre intelligent;arabunionglass.com;info@arabunionglass.com;17258;60 ANS DE METIER, plusieurs sites. Positionner Low-E, feuillete et formats jumbo (float local). Lot Egypte vers Alexandrie.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Abou Dabi, ICAD I;White Aluminium Enterprises LLC;Transformation de verre et façades aluminium;whitealuminium.ae;info@whitealuminium.ae;+971 2 550 0830;Division industrielle équipée LiSEC et Glaston, références Burj Khalifa et Louvre Abu Dhabi. Port Khalifa Port, envoi en arabe.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Abou Dabi, ICAD III;Glasstech;Transformation de verre architectural et façades aluminium;glasstech.ae;info@glasstech.ae;+971 2 550 7774;Usine dédiée au verre architectural et aux façades à ICAD III, cibler contrôle solaire. Port Khalifa Port, envoi en arabe.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Ajman / Dubaï;Alpha Glass LLC;Stockiste, importateur, exportateur, grossiste verre et alu, depuis 2005;alphaglass.org;info@alphaglass.org;+971 4 263 3406;IMPORTATEUR-GROSSISTE : achete au conteneur, cible prioritaire.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Ajman, Al Jurf Industrial 1;Safe Lite Glass Industries LLC;Transformation de verre trempé, feuilleté et isolant;slglass.ae;info@slglass.ae;+971 6 565 1388;Four de trempe, unité double vitrage et ligne de feuilletage EVA. Port Port Khalid (Charjah), envoi en arabe.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Ajman, New Industrial 2;Oscar Glass Factory;Distribution de verre plat et solutions aluminium;oscarglassfactory.com;info@uaeoscarglass.com;+971 50 228 3822;Siège à Ajman et implantations à Al Aïn et Charjah, cibler verre en feuilles et miroirs. Port Port Khalid (Charjah), envoi en arabe.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Al Aïn, Industrial City 1;Google Glass;Transformation de verre trempé et double vitrage;googleglass.ae;info@googleglass.ae;+971 3 766 8566;Unité de transformation créée en 2009 assurant trempe et double vitrage, cibler float. Port Khalifa Port, envoi en arabe.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Charjah, zone industrielle 15;Arabian Aluminium and Glass Industry LLC;Transformation de verre et finition aluminium;arabianglass.ae;info@arabianglass.ae;+971 6 524 9070;Trempé, feuilleté et vitrage isolant, cibler float et Low-E. Port Port Khalid (Charjah), envoi en arabe.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Charjah, zone industrielle 2;MIH Group;Distribution et transformation de verre plat;mihgroup.ae;info@mihgroup.ae;+971 6 533 1643;Trempe annoncée à 1000 m² par jour et réseau aux Émirats et au Qatar. Port Port Khalid (Charjah), envoi en arabe.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Charjah, zone industrielle 3;Sharjah Glass Store LLC;Distribution et transformation de verre architectural;shjglass.com;info@shjglass.com;+971 6 542 2668;Usine et showroom distincts à Charjah, cibler float et miroir. Port Port Khalid (Charjah), envoi en arabe.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Charjah;Al Rawaa Glass & Mirror Factory LLC;Transformation et distribution de verre et miroirs;alrawaa.net;sales@alrawaa.net;+971 6 534 2025;Implantations industrielles à Charjah et Ajman, cibler verre en feuilles et miroir. Port Port Khalid (Charjah), envoi en arabe.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Charjah;Glassjet;Transformation de verre trempé, feuilleté et isolant;glassjet.ae;info@glassjet.ae;+971 6 744 2288;Installation de trempe en propre et vitrage feuilleté, cibler float et extra-clair. Port Port Khalid (Charjah), envoi en arabe.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Dubaï (Al Quoz 3);Glass Maestro Industries;Transformation verre plat;glass-maestro.com;info@glass-maestro.com;+971 4 3933299;Adresse repérée en recherche. Envoi groupe (lot Dubai) vers Jebel Ali.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Dubaï (Al Quoz 4);Emirates Glass LLC (Dubai Investments);Le plus gros transformateur de verre architectural de la region, couches magnetron;emiratesglass.com;;;MAJOR REGIONAL. Aucune adresse publiee : passer par le formulaire ou Dubai Investments.;A APPELER
Émirats arabes unis;AE;Dubaï (Al Quoz 4);Emirates Glass LLC;Façade, verre de sécurité, pare-balles;emiratesglass.com;;;Gros acteur façade, appartient au groupe Dubai Investments.;
Émirats arabes unis;AE;Dubaï (Jebel Ali);Al Abbar Group;Facadier : Burj Khalifa, Burj Al Arab, Emirates Tower. 300 M$ de CA;alabbargroup.com;;+971 4 801 2000;MAJOR MONDIAL. Aucune adresse publiee : appeler le siege.;A APPELER
Émirats arabes unis;AE;Dubaï, Al Quoz 1;Glazinum Fab Metal Doors & Windows Manufacturing LLC;Fabrication de façades et transformation du verre;glazinumuae.com;info@glazinumuae.com;+971 4 889 5664;Usine de transformation et projets de façades, cibler contrôle solaire. Port Jebel Ali, envoi en arabe.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Dubaï, Al Quoz Industrial 3;Huzefa Haider Glass Industries LLC;Transformation de verre trempé et façonné;huzefahaiderdubai.com;info@huzefahaiderdubai.com;+971 800 525252;Usine équipée pour la trempe du float clair, teinté et à couche tendre. Port Jebel Ali, envoi en arabe.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Dubaï;Abbas Tempering Industry LLC;Trempe;;;04-2677740;Trempeur : cible float 4-12 mm.;
Émirats arabes unis;AE;Dubaï;Glass World Industries;Float, trempé, feuilleté de sécurité, +25 ans;glassworldindustries.ae;rfq@glassworld.ae;+971 4 333 3606;Transformateur généraliste, consomme du float en continu.;ENVOYE 2026-09-22
Émirats arabes unis;AE;Dubaï;Glass World;Verre et aluminium;glassworld.ae;;;À qualifier.;
Émirats arabes unis;AE;Dubaï;Green Glass Industries LLC;Transformation architecturale, feuilleté jusqu'à 2,8 × 6 m;greenglassindustries.com;greengls@eim.ae;+971 7 258 8369;Grande capacité feuilleté : cible prioritaire pour le float et le Low-E.;ENVOYE 2026-09-22
Émirats arabes unis;AE;Dubaï;Khaiber Glass;Verre et aluminium;khaiberglass.com;;;À qualifier.;
Émirats arabes unis;AE;Dubaï;Mirodec Gulf;Miroiterie et verre décoratif;mirodec.com;mirodec-gulf@mirodec.com;+971 4 8850202;Miroir et déco : viser le miroir argenté et le laqué. Envoi groupe (lot Dubai) vers Jebel Ali.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Dubaï;Technical Glass & Aluminium LLC;Transformation du verre et fabrication de façades;tgac.net;alum.uae@tgac.net;+971 4 880 3990;Plusieurs unités de façades aux Émirats et au Qatar, cibler Low-E et feuilleté. Port Jebel Ali, envoi en arabe.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Ras el Khaïmah, Al Ghail;Future Architectural Glass LLC;Transformation de verre architectural de sécurité;faglass.com;sales@faglass.com;+971 7 258 9274;Trempe et feuilletage en propre, cibler jumbo et extra-clair. Port Saqr Port, envoi en arabe.;ENVOYE 2026-09-23
Émirats arabes unis;AE;Sharjah (Industrial Area 13);Gulf Glass Industries (GGI);Transformateur architectural depuis 1991, groupe GIBCA;gulfglass.ae;Mail@GulfGlass.com;+971 6 513 4999;Leader du marche emirati, adosse au groupe GIBCA.;ENVOYE 2026-09-23
Équateur;EC;Quito et Portoviejo;GRUPO VIDRIALUM;Import d aluminium et de verre;vidrialum.com;adminquito@vidrialum.com;;IMPORTATEUR DECLARE d aluminium et de verre, plusieurs agences. Second contact adminpvm@vidrialum.com. Port Guayaquil, envoi en espagnol.;ENVOYE 2026-09-24
Équateur;EC;Quito;Duravidrio;Fabrication de verre trempe, feuillete et bombe;duravidrio.com;ventas@duravidrio.com;+593 99 972 8592;Fabricant trempe et feuillete. Port Guayaquil. Envoi en espagnol.;ENVOYE 2026-09-24
Espagne;ES;Alcalá de Guadaíra (Séville);Dicrisur S.L.;Un des plus gros depots de verre de la province de Seville;dicrisur.com;;+34 955 631 906;Seule adresse trouvee rattachee a cristalauto.es (vitrage automobile) : appeler pour obtenir le contact verre plat.;A APPELER
Espagne;ES;Barcelone;Vidres Blanchi S.L.;Fabrication et pose de verre et de miroirs depuis 1958;vidresblanchi.es;vidresblanchi@gmail.com;+34 934 464 118;Carrer Trinxant 87. Port Barcelone, envoi en espagnol.;ENVOYE 2026-09-25
Espagne;ES;Leganés (Madrid);Ramos Industria del Vidrio S.L.;Transformation de verre, deux sites industriels et un centre de distribution;ramosiv.es;;+34 916 850 195;7000 m2 d usine et 2000 tonnes de stockage, centre de distribution a Fuenlabrada. Port Valence ou Bilbao, envoi en espagnol ADRESSE REBONDIE le 25/09 (550 5.1.1) : appeler le +34 916 850 195.;A APPELER
Espagne;ES;Picassent, Alicante, Séville, Ciudad Real, Móstoles;Glass Partners Solutions Ibérica (GPS);Distribution de verre, entrepots dans toute la peninsule;gps-glass.com;;+34 691 388 267;DISTRIBUTEUR MULTI-ENTREPOTS avec usines de feuillete et de depoli. Aucune adresse email publiee : a rappeler.;A APPELER
Espagne;ES;Sant Cugat del Vallès (Barcelone);Soluglass S.L.;Fabrication et transformation de feuillete et de trempe;soluglassl.com;info@soluglassl.com;+34 93 707 8172;Usine a La Roca del Valles avec service de distribution. Port Barcelone, envoi en espagnol.;ENVOYE 2026-09-25
Estonie;EE;Tallinn;KL24 (OÜ Karnaluks);Vente de verre en feuilles et de miroirs;kl24.ee;info@kl24.ee;+372 601 3373;K. A. Hermanni 1. Port Tallinn, envoi en anglais.;ENVOYE 2026-09-25
Estonie;EE;Tallinn;Klaasissepa;Façonnage et pose de verre;klaasissepa.ee;info@klaasissepa.ee;+372 511 4488;Port Tallinn, envoi en anglais.;ENVOYE 2026-09-25
Estonie;EE;Tallinn;Tallinna Klaas ja Peegel (Glass Market OÜ);Gros et detail de verre et de miroirs;tallinnaklaas.ee;info@tallinnaklaas.ee;+372 5192 4968;Suur Sõjamäe 35. Port Tallinn, envoi en anglais.;ENVOYE 2026-09-25
États-Unis;US;;Wholesale Glass and Supplies;Distribution en gros de verre decoratif decoupe aux industries du vitrage et de l hotellerie;wgsonline.com;allglass@wgsonline.com;;Grossiste verre decoratif pour vitriers, construction, architecture et hotellerie. Envoi en anglais, port a confirmer par le client.;ENVOYE 2026-09-25
États-Unis;US;Secaucus, New Jersey;GGI — General Glass International;Transformation et distribution nationale de verre architectural de specialite;generalglass.com;sales@generalglass.com;+1 800 431 2042;IMPORTATEUR DECLARE : sourcing mondial de float et de verre de specialite importe, distribution nationale US. Cible majeure. Port de New York / New Jersey, envoi en anglais.;ENVOYE 2026-09-24
Éthiopie;ET;Addis-Abeba (Kolfe Keraniyo);Addis Ababa Bottle & Glass Share Company;Verrerie industrielle depuis 1972;addisglass.org;;+251 11 270 2811;Verrier d'emballage : cible secondaire, a qualifier sur le verre plat. Transit via Djibouti.;A QUALIFIER
Éthiopie;ET;Addis-Abeba;Abdi Aluminium & Glass Works;Fenetres, portes, facades verre et murs rideaux aluminium;abdiglassandaluminiumsolution.com;;;Facadier-menuisier aluminium. Aucune adresse email publiee : a rappeler. Pays enclave, transit via Djibouti.;A APPELER
Éthiopie;ET;Addis-Abeba;MAB Aluminium & Glass Works PLC;Aluminium, metal et verre depuis 1994;;;;Fabricant historique d Addis-Abeba. Aucune adresse email publiee : a rappeler. Pays enclave, transit via Djibouti.;A APPELER
Fidji;FJ;Suva (Carpenter Street) et Lautoka;Glass & Mirror (Fiji) Pte Ltd;Verrerie generale, fabrication aluminium et negoce de verre;glassandmirror.com.fj;info@glassandmirror.com.fj;;NEGOCIANT EN VERRE avec deux sites Suva et Lautoka : profil acheteur de conteneur. Port Suva ou Lautoka, envoi en anglais.;ENVOYE 2026-09-24
Fidji;FJ;Suva (Ratu Mara Road);All Aluminium & Glass Solution;Aluminium et verre;;allglassalu65@gmail.com;;Fabricant aluminium-verre de Suva. Port Suva, envoi en anglais.;ENVOYE 2026-09-24
Fidji;FJ;Suva (Wainivula Rd);Manohan Aluminium and Glass Pte (Fiji) Ltd;Fabrication aluminium et verre;;manohanaluminiumglass@gmail.com;;Fabricant aluminium-verre de Suva. Port Suva, envoi en anglais.;ENVOYE 2026-09-24
Fidji;FJ;Suva;Perfect Aluminium Fiji;Solutions aluminium et verre;perfectaluminiumfiji.com;perfect.aluminium@yahoo.com;;Fabricant aluminium-verre de Suva. Port Suva, envoi en anglais.;ENVOYE 2026-09-24
Finlande;FI;Finlande;Lasiposti;Gros de verre de construction et de decoration;lasiposti.fi;myynti@lasiposti.fi;+358 40 145 0660;Se presente en grossiste verrier (lasitukku). Port Helsinki, envoi en anglais.;ENVOYE 2026-09-25
Gabon;GA;Libreville (Z.I. d'Oloumi);Miroiterie-Vitrerie d'Oloumi;Miroiterie, vitrerie et verre trempe SECURIT;;;+241 11 72 08 30;Face Diesel Gabon, B.P. 1110. Aucune adresse email publiee : a rappeler. Port Owendo.;A APPELER
Géorgie;GE;Tbilissi et Batoumi;Bars Facade LLC;Import et vente de produits verriers, systemes de facade;barsfacade.ge;;+995 577 41 51 36;Fonde en 1998, importateur historique de verre entre la Georgie et la Turquie, deux sites Tbilissi et Batoumi. CIBLE PRIORITAIRE. Aucune adresse email publiee : appeler. Port Poti.;A APPELER
Géorgie;GE;Tbilissi;GEOALPEN;Systemes aluminium, PVC et facades vitrees;geoalpen.ge;info@geoalpen.ge;;Facadier et menuisier aluminium-PVC, 13 Samgori St Tbilissi. Port Poti, envoi en anglais.;ENVOYE 2026-09-24
Ghana;GH;Accra (Oyarifa);Brittin Industries;Trempé, feuilleté, isolant, simple vitrage;brittinindustries.com;info@brittinindustries.com;+233 57 638 7743;Usine de transformation, port de Tema.;ENVOYE 2026-09-22
Ghana;GH;Accra, Banana Inn;Perfect Glass Ghana;Transformation de verre et fabrication de façades;perfectglassgh.com;info@perfectglassgh.com;+233 204 336 854;Façades en interne et transformation de verre trempé, feuilleté et double vitrage. Port Tema, envoi en anglais.;ENVOYE 2026-09-23
Ghana;GH;Accra, South Industrial Area;Alutrade;Transformation de verre et distribution aluminium;alutradegh.com;info@alutradegh.com;+233 24 863 4546;Trois fours de trempe et réseau Ghana-Côte d'Ivoire, cibler float et Low-E. Port Tema, envoi en anglais.;ENVOYE 2026-09-23
Ghana;GH;Accra;Glass Experts Ghana;Trempé sans cadre, vitrines, dépoli, garde-corps;myglassexperts.com;;;Poseur-transformateur.;
Ghana;GH;Accra;Sofaamy Glass Processing Ghana Ltd;Usine moderne : verre, profilés alu, panneaux composites, garde-corps;glass.sofaamy.com;info@sofaamy.com;+233 24 795 8357;Dessert Ghana, Côte d'Ivoire, Burkina, Togo, Bénin et Nigéria : six marchés par un seul contact.;ENVOYE 2026-09-22
Grèce;GR;Patras;Garoufalis Glass;Verre plat (float) et miroiterie depuis 1971;garoufalisglass.gr;info@garoufalisglass.gr;+30 2610 453 093;Sur le float depuis 1971, Koridaleos, Kato Sychaina. Port Le Piree, envoi en anglais.;ENVOYE 2026-09-25
Grèce;GR;Sindos (Thessalonique);iGlass S.A.;Négoce et transformation de verre plat;iglass.gr;info@iglass.gr;;Plus de 25 000 t/an, sites Thessalonique et Athènes, distribue en Grèce et dans les Balkans du Sud. Port Thessalonique, envoi en anglais.;ENVOYE 2026-09-25
Guadeloupe;GP;—;Univers du Verre;Vitrerie et miroiterie, Guadeloupe, Martinique, Saint-Martin;universduverre.fr;;;Couvre plusieurs îles : volume mutualisé.;
Guadeloupe;GP;Baie-Mahault (ZI Jarry);Miroiterie des Antilles;Miroiterie, SAS, 288 Impasse des Palétuviers;;;;Sur la zone portuaire de Jarry, à côté du port.;
Guatemala;GT;Guatemala Ciudad (zona 11) et Quetzaltenango;INALVI — Industria de Aluminio y Vidrio S.A.;Distribution d aluminium et de verre depuis plus de 40 ans;inalvi.com.gt;info@inalvi.com.gt;+502 2210 3100;Distributeur national aluminium et verre, deux sites capitale et Quetzaltenango. Port Santo Tomas de Castilla, envoi en espagnol.;ENVOYE 2026-09-24
Guatemala;GT;Guatemala Ciudad;Grupo Vitrum;Fabrication et pose de verre trempe, Guatemala et Amerique centrale;grupovitrum.com;;+502 2315 0752;Pas d'adresse email publiee — appeler. Port Puerto Quetzal.;A APPELER
Guinée;GN;Conakry (Ratoma);ALU Guinée;Fabrication et vente de portes, fenetres et mobilier verre;;;;Ratoma Dispensaire. Aucune adresse email publiee : a rechercher. Port Conakry.;A APPELER
Guyana;GY;Georgetown (Mc Doom);Kamri Glass Guyana;Verre trempe, garde-corps verre, fenetres et portes UPVC;kamri.glass;kamriglassgy@gmail.com;+592 654 3905;Lot 20A Public Road Mc Doom. Port Georgetown. Envoi en anglais.;ENVOYE 2026-09-25
Honduras;HN;Tegucigalpa et San Pedro Sula;Aluminios del Sur;Fabrication et pose de verre et miroirs sur mesure depuis 1995;aluminiosdelsurhn.com;;+504 8847 8257;Trois decennies de metier, couvre Tegucigalpa, San Pedro Sula et Olancho. Adresse email masquee en ligne : appeler. Port Puerto Cortes.;A APPELER
Hongrie;HU;Szombathely;Horváth Síküveg Kft.;Négoce et façonnage de verre plat;horvathsikuveg.hu;info@hmsikuveg.com;+36 94 509 443;Acsadi I. u. 16. Pays enclave : transit par Koper, Rijeka ou Hambourg. Envoi en anglais.;ENVOYE 2026-09-25
Îles Caïmans;KY;Grand Cayman;Cayman Glass;Verre et vitrage;;;;38 Caterpillar Drive. Marche insulaire importateur. Aucune adresse email publiee : a rappeler. Port George Town.;A APPELER
Îles Salomon;SB;Honiara (Ranadi Industrial Estate);Tropic Glass & Aluminium Ltd;Verre et aluminium, licencie Nulook;;;;Fabricant verre-aluminium de Honiara. Aucune adresse email publiee : a rappeler. Port Honiara.;A APPELER
Inde;IN;Bahadurgarh, HSIDC Sector 16;Aurum India Safety Glass Pvt. Ltd.;Transformation de verre architectural de sécurité;relaxotuff.com;info@relaxotuff.com;+91 88160 00801;Transformateur Relaxo Tuff avec réseau de distributeurs, cibler float et extra-clair. Port Mundra, envoi en anglais.;ENVOYE 2026-09-23
Inde;IN;Chennai (Sowcarpet);Float Glass Centre (Sri Renuka Enterprises);Negoce et import de verre, export vers l Afrique, le Moyen-Orient et l Amerique du Sud;;;+91 80478 18693;SE DECLARE PREMIER IMPORTATEUR DE VERRE D INDE. Le numero publie est un relais IndiaMART : chercher la ligne directe avant d appeler. Port Chennai.;A APPELER
Inde;IN;Greater Noida, Udyog Vihar;GSC Glass Pvt. Ltd.;Transformation de verre architectural et industriel;gscglass.com;gsc@gscglass.com;+91 120 4889000;Trempe, feuilletage et vitrage isolant, références de façades de 40000 m². Port Nhava Sheva, envoi en anglais.;ENVOYE 2026-09-23
Inde;IN;Inde;Float Glass Centre;Importation de verre et produits verriers;;;;SE PRESENTE COMME LE PREMIER IMPORTATEUR DE VERRE D INDE. Aucune adresse email publiee : a rechercher.;A APPELER
Inde;IN;Inde;Gulam & Gulam Exim Pvt. Ltd.;Import-export de float clair, feuillete, miroir, reflechissant, laque;;;;Maison de 2010, importateur-exportateur declare. Aucune adresse email publiee : a rechercher.;A APPELER
